codigo,estacao,timestamp,bacia,latitude,longitude,regiao,altitude,chuva_1h_mm,chuva_6h_mm,chuva_12h_mm,chuva_24h_mm,chuva_48h_mm,rio_nivel_m,rio_tendencia
DCRS-00043,Três Forquilhas - Rio Pedras Brancas,2026-07-26T12:57:16.000+00:00,RS - Rio Tramandaí,-29.431900024414062,-50.111900329589844,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.20000000298023224,73.08999633789062,0.0
DCRS-00044,Viamão - Itapuã,2026-07-26T12:57:19.000+00:00,RS - Lago Guaíba,-30.28260040283203,-51.02130126953125,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,0.8899999856948853,-0.01923076994717121
DCRS-00045,São Lourenço do Sul,2026-07-26T12:57:17.000+00:00,RS - Rio Camaquã,-31.377399444580078,-51.95989990234375,Sudeste Rio-grandense,,0.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.7599999904632568,0.0
DCRS-00046,Picada Café,2026-07-26T12:57:17.000+00:00,RS - Rio Caí,-29.461999893188477,-51.14039993286133,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.20000000298023224,0.4000000059604645,66.05999755859375,0.0007692307699471712
DCRS-00047,Maquiné - Rio Água Parada,2026-07-26T12:57:15.000+00:00,RS - Rio Tramandaí,-29.674999237060547,-50.19929885864258,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,0.9700000286102295,0.01076923031359911
DCRS-00048,Morrinhos do Sul,2026-07-26T12:57:19.000+00:00,RS - Mampituba,-29.36680030822754,-49.9375,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,21.75,-0.009230769239366055
DCRS-00049,Santa Vitória do Palmar - Lagoa Mirim,2026-07-26T12:57:14.000+00:00,RS - Lagoa Mirim e do Canal São Gonçalo,-33.49789810180664,-53.4359016418457,Sudeste Rio-grandense,,0.0,0.0,0.0,0.0,0.0,0.9900000095367432,-0.01846153847873211
DCRS-00050,Arroio Grande,2026-07-26T12:57:17.000+00:00,RS - Lagoa Mirim e do Canal São Gonçalo,-32.23870086669922,-53.0890998840332,Sudeste Rio-grandense,,0.0,0.0,0.0,0.0,0.0,15.630000114440918,-0.00909090880304575
DCRS-00051,Piratini - Herval,2026-07-26T12:57:12.000+00:00,RS - Lagoa Mirim e do Canal São Gonçalo,-31.87540054321289,-53.0276985168457,Sudeste Rio-grandense,,0.0,0.0,0.0,0.0,0.0,38.18000030517578,-0.004545454401522875
DCRS-00052,Cerrito - Pedro Osório,2026-07-26T12:57:11.000+00:00,RS - Lagoa Mirim e do Canal São Gonçalo,-31.86050033569336,-52.81679916381836,Sudeste Rio-grandense,,0.0,0.0,0.0,0.0,0.0,14.109999656677246,-0.013076922856271267
